"","queried_ursi","age","sex","firstSum","secondSum","allSum","past","positive","future","negative","friends","specific_vague","words","images","EHI","MeanFD"
"1",102157,36,"female",112,38,150,0.831150478936048,-1.10743472093586,0.128037052538377,-0.388406099361042,-1.69625841600225,0.396289649750243,0.968980778192584,-0.813240891364863,100,0.2878
"2",103645,49,"male",86,47,133,-0.257342215663494,0.369077337021446,-0.415764101719469,-1.78864712992447,0.885458897953714,1.1603778329729,1.3427141831849,1.51360510167992,85,0.8576
"3",105488,44,"male",52,20,72,-1.02142070657887,0.413911443835483,0.475606504590774,-0.84912803757333,-0.129126214542852,-1.19826483024647,0.551861919443248,-0.55366631184462,90,0.1364
"4",106780,49,"female",48,42,90,-0.823937722351401,0.948670178882878,-1.24760294239447,1.08694458773446,-1.76478334549552,0.41928486467207,-0.733854099693273,0.625624839917469,60,0.181
"5",108355,46,"male",121,34,155,0.817960646990234,-0.421755884174036,1.71842551269695,0.389461711218801,0.682395753172752,0.068862612054032,0.632012242576194,0.530444832135599,85,0.3129
"6",109727,41,"male",111,36,147,0.571212398732341,1.06283271908271,-3.00004665526223,-2.06920165793806,0.591602545270218,0.573216760943206,0.363635489119876,-2.0862739091808,70,0.234
"7",111282,39,"female",90,25,115,-0.109421723198137,0.673549420989374,1.08231221903216,0.467862979711946,2.2350792741107,-0.538805999832273,-0.736611139889692,1.31352934830235,35,0.3086
"8",112249,20,"female",22,32,54,-1.68401574299781,0.871891470171769,-0.154705028608254,0.0810014743768196,-0.96403510418668,-0.129750575116028,1.65587896326744,1.09215035038436,90,0.1184
"9",112828,58,"female",48,16,64,-1.12907664709957,-0.594028278544171,-0.155682447904035,1.30400565995652,0.0624868864416936,-1.31238216777665,-0.597903253071158,0.242989377628649,55,0.8559
"10",113013,57,"female",66,34,100,-0.504249524820283,-0.770924264439331,-0.0447895796940325,-0.318376488191454,1.41275067688735,-0.14448261337248,1.35336397337221,1.20207719075147,100,0.3133
"11",114232,48,"female",110,13,123,0.546954890566647,-1.22747178477751,1.72650441699922,-1.66897343586355,0.540418870973601,-1.49164607097391,-0.295908408178109,-0.0540654213532813,100,0.3496
"12",115321,51,"female",130,39,169,1.06865368346745,-1.79745969457587,-0.236935854584553,-1.60381245926648,-0.61003087503407,0.280939057756224,1.69824018635962,1.21096656726117,50,0.2545
"13",115454,20,"female",117,42,159,0.748199537392325,0.98452749329085,-0.412291045807416,-1.74367904952953,1.19356957990696,0.800088860446827,-1.11605701685498,-0.77795577044728,85,0.185
"14",115564,58,"female",119,28,147,0.880560494450506,-1.26050718712454,1.81870732265692,-0.996135098291739,0.477929438505511,-0.36632910113212,1.15370562578517,0.993211407159042,95,0.3707
"15",115824,44,"female",133,49,182,1.06665023077418,-0.107795206156139,-0.485775011889639,0.643507696771978,1.7634750977963,1.58505028502059,0.232584486224707,-0.746112100990675,70,0.445
"16",116039,46,"female",75,40,115,-0.163559326309539,-1.19610656699946,-1.62373186091081,0.162502644233412,0.205506053515862,0.508083989316331,1.98218028663939,1.8450222834625,-80,0.1289
"17",116065,36,"male",62,8,70,-0.611731781721081,0.992605831422508,-2.12859075547304,-1.73509545064141,0.126866107222979,-1.7614368469783,-0.18389887815627,-0.087727971534782,95,0.3796
"18",116834,23,"male",122,41,163,0.74881511460802,0.204140940469988,-0.0805895263268268,0.107066774227655,0.269403302624673,1.12744924429543,-2.07179748707926,-0.111499441793887,60,0.1621
